                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         | 11/2 |          69408.51    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  7/2 |          69431.00    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | 4G*       |  5/2 |          69681.6     |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4F*       |  9/2 |          69686.26    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 4G*       | 11/2 |          69978.08    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | 2I*       | 13/2 |          70381.48    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | 4G*       |  9/2 |          71021.1     |            
                          |           |  7/2 |          71385.6     |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | *         |  3/2 |          71501.0     |            
                          |           |      |                      |             
4f2.(1G<4>).6p<3/2>       | (4,3/2)*  |  5/2 |          71536.38    |            
                          |           |  9/2 |          71592.34    |            
                          |           | 11/2 |          71736.45    |            
                          |           |  7/2 |          71978.52    |            
                          |           |      |                      |             
4f.(2F*).5d2.(1D)         | *         |  5/2 |          71994.81    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | *         |  9/2 |          73029.9     |            
                          |           |      |                      |             
4f.(2F*).5d2.(1G)         | 2G*       |  7/2 |          73378.42    |            
                          |           |      |                      |             
4f.(2F*).5d2.(1D)         | 2G*       |  9/2 |          73606.17    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | 4G*       | 11/2 |          73609.1     |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | *         |  5/2 |          74105.2     |            
                          |           |      |                      |             
4f.(2F*).5d2.(3P)         | 4F*       |  3/2 |          74463.7     |            
                          |           |  7/2 |          75294.0     |            
                          |           |      |                      |             
4f2.(1D<2>).6p<1/2>       | (2,1/2)*  |  3/2 |          75409.58    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  5/2 |          75560.75    |            
                          |           |      |                      |             
4f2.(1D<2>).6p<1/2>       | (2,1/2)*  |  5/2 |          75614.81    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         | 11/2 |          75640.00    |            
                          |           |      |                      |             
4f.(2F*).5d2.(1G)         | 2G*       |  9/2 |          75762.23    |            
                          |           |      |                      |             
4f.(2F*).5d2.(3F)         | *         |  3/2 |          76892.4     |            
                          |           |      |                      |             
4f.(2F*).5d2.(1G)         | 2F*       |  5/2 |          77822.00    |            
                          |           |      |                      |             
4f2.(1D<2>).6p<3/2>       | (2,3/2)*  |  1/2 |          78312.91    |            
                          |           |      |                      |             
4f.(2F*).5d2.(1G)         | 2F*       |  7/2 |          78463.6     |            
                          |           |      |                      |             
4f.(2F*).5d2.(1G)         | 2I*       | 11/2 |          78694.57    |            
                          |           |      |                      |             
4f2.(1D<2>).6p<3/2>       | (2,3/2)*  |  3/2 |          78889.14    |            
                          |           |      |                      |             
4f.(2F*).5d2.(1G)         | 2I*       | 13/2 |          79136.23    |            
                          |           |      |                      |             
4f2.(1D<2>).6p<3/2>       | (2,3/2)*  |  5/2 |          79366.65    |            
                          |           |  7/2 |          79395.55    |            
                          |           |      |                      |             
4f2.(3P<1>).6p<1/2>       | (1,1/2)*  |  1/2 |          79742.36    |            
                          |           |  3/2 |          80164.04    |            
                          |           |      |                      |             
4f2.(1I<6>).6p<1/2>       | (6,1/2)*  | 11/2 |          80360.82    |            
                          |           |      |                      |             
4f2.(3P<2>).6p<1/2>       | (2,1/2)*  |  3/2 |          80897.85    |            
                          |           |      |                      |             
4f2.(1I<6>).6p<1/2>       | (6,1/2)*  | 13/2 |          80988.76    |            
                          |           |      |                      |             
4f2.(3P<2>).6p<1/2>       | (2,1/2)*  |  5/2 |          81404.52    |            
                          |           |      |                      |             
4f2.(3P<0>).6p<3/2>       | (0,3/2)*  |  3/2 |          82492.4     |            
                          |           |      |                      |             
4f2.(3P<1>).6p<3/2>       | (1,3/2)*  |  3/2 |          83025.91    |            
                          |           |  5/2 |          83426.55    |            
                          |           |      |                      |             
4f2.(1I<6>).6p<3/2>       | (6,3/2)*  | 11/2 |          83607.32    |            
                          |           | 13/2 |          83703.43    |            
                          |           |      |                      |             
4f.5d.(3F*).6s            | 4F*       |  3/2 |          84409.93    |            
                          |           |      |                      |             
4f2.(1I<6>).6p<3/2>       | (6,3/2)*  |  9/2 |          84410.63    |            
                          |           |      |                      |             
4f2.(3P<2>).6p<3/2>       | (2,3/2)*  |  7/2 |          84430.98    |            
                          |           |      |                      |             
4f2.(1I<6>).6p<3/2>       | (6,3/2)*  | 15/2 |          84992.04    |            
                          |           |      |                      |             
4f2.(3P<2>).6p<3/2>       | (2,3/2)*  |  5/2 |          85306.10    |            
                          |           |      |                      |             
4f.5d.(3G*).6s            | 4G*       |  7/2 |          87511.6     |            
                          |           |  9/2 |          88220.2     |            
                          |           |      |                      |             
4f.5d.(3F*).6s            | 4F*       |  9/2 |          88948.6     |            
                          |           |      |                      |             
4f.5d.(3G*).6s            | 4G*       | 11/2 |          90119.8     |            
                          |           |      |                      |             
4f.5d.(3H*).6s            | 2H*       |  9/2 |          90629.2     |            
                          |           |      |                      |             
4f.5d.(3G*).6s            | 2G*       |  7/2 |          92441.7     |            
                          |           |      |                      |             
4f.(2F*).5d2.(1S)         | 2F*       |  5/2 |          92554.8     |            
                          |           |      |                      |             
4f.5d.(3H*).6s            | 2H*       | 11/2 |          93296.5     |            
                          |           |      |                      |             
4f.(2F*).5d2.(1S)         | 2F*       |  7/2 |          93967.4     |            
                          |           |      |                      |             
4f.5d.(3G*).6s            | 2G*       |  9/2 |          95147.9     |            
                          |           |      |                      |             
4f.5d.(1F*).6s            | 2F*       |  7/2 |          96830.5     |            
                          |           |      |                      |             
4f2.(3H<4>).7s<1/2>       | (4,1/2)   |  9/2 |         100321.12    |            
                          |           |      |                      |             
4f2.(3H<4>).6d<3/2>       | (4,3/2)   |  9/2 |         100430.29    |            
                          |           | 11/2 |         100625.04    |            
                          |           |  7/2 |         100788.95    |            
                          |           |      |                      |             
4f2.(3H<4>).6d<5/2>       | (4,5/2)   |  9/2 |         100947.18    |            
                          |           |      |                      |             
4f2.(3H<4>).6d<3/2>       | (4,3/2)   |  5/2 |         101071.43    |            
                          |           |      |                      |             
