5d5.6p              | 223470*  |   2 |             223470.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 223963*  |   1 |             223963.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 224359*  |   5 |             224359.08    |       L19450
                    |          |     |                          |              
5d5.6p              | 225063*  |   3 |             225063.4     |       L19450
                    |          |     |                          |              
5d5.6p              | 225383*  |   2 |             225383.3     |       L19450
                    |          |     |                          |              
5d5.6p              | 225409*  |   6 |             225409.63    |       L19450
                    |          |     |                          |              
5d5.6p              | 226381*  |   4 |             226381.28    |       L19450
                    |          |     |                          |              
5d5.6p              | 226388*  |   5 |             226388.24    |       L19450
                    |          |     |                          |              
5d5.6p              | 228401*  |   3 |             228401.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 228604*  |   1 |             228604.9     |       L19450
                    |          |     |                          |              
5d5.6p              | 228832*  |   2 |             228832.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 229176*  |   3 |             229176.8     |       L19450
                    |          |     |                          |              
5d5.6p              | 230283*  |   4 |             230283.80    |       L19450
                    |          |     |                          |              
5d5.6p              | 231117*  |   3 |             231117.1     |       L19450
                    |          |     |                          |              
5d5.6p              | 231570*  |   4 |             231570.8     |       L19450
                    |          |     |                          |              
5d5.(2G1).6p        | 3H*      |   6 |             233808.2     |       L19450
                    |          |     |                          |              
5d5.6p              | 233830*  |   2 |             233830.7     |       L19450
                    |          |     |                          |              
5d5.6p              | 235194*  |   3 |             235194.9     |       L19450
                    |          |     |                          |              
5d5.6p              | 235726*  |   2 |             235726.3     |       L19450
                    |          |     |                          |              
5d5.(2G1).6p        | 3G*      |   4 |             236619.0     |       L19450
                    |          |   5 |             238146.0     |       L19450
                    |          |     |                          |              
5d5.(2G1).6p        | 1G*      |   4 |             238932.4     |       L19450
                    |          |     |                          |              
5d5.(2G1).6p        | 1H*      |   5 |             240252.8     |       L19450
