                       |        |      |                            |              
3d4.(5D).4d            | e 6G   |  9/2 |              86847.0098    |       L18847
                       |        |      |                            |              
3d4.(1F).4p            | v 2D*  |  3/2 |              86919.0032    | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4d            | e 6G   | 11/2 |              86980.0770    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4G*  |  9/2 |              87092.562     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6G   | 13/2 |              87137.0224    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4G*  | 11/2 |              87450.434     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | f 6D   |  1/2 |              87453.4861    |       L18847
                       |        |  3/2 |              87470.5419    |       L18847
                       |        |  5/2 |              87514.7986    |       L18847
                       |        |  7/2 |              87587.8656    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6F   |  1/2 |              87594.5655    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4F*  |  3/2 |              87628.733     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6F   |  3/2 |              87666.2064    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | f 6D   |  9/2 |              87687.5091    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6F   |  5/2 |              87759.0619    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4F*  |  5/2 |              87766.582     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6F   |  7/2 |              87858.4683    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4F*  |  7/2 |              87916.663     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 6F   |  9/2 |              87948.5333    |       L18847
                       |        | 11/2 |              88001.3383    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 4F*  |  9/2 |              88073.435     |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 2D*  |  3/2 |              88604.250     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 4G   |  5/2 |              89055.9455    |       L18847
                       |        |      |                            |              
3d3.(4F).4s.4p.(3P*)   | u 2D*  |  5/2 |              89164.516     |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 4G   |  7/2 |              89173.9920    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 4P   |  1/2 |              89254.4700    |       L18847
                       |        |  3/2 |              89277.9218    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 4G   |  9/2 |              89325.2787    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | e 4P   |  5/2 |              89336.8100    |       L18847
                       |        |      |                            |              
3d4.(b 3P).4p          | y 4P*  |  3/2 |              89422.324     | L18847,L7185
                       |        |  5/2 |              89453.029     | L18847,L7185
                       |        |  1/2 |              89507.959     | L18847,L7185
                       |        |      |                            |              
3d4.(5D).4d            | e 4G   | 11/2 |              89508.4990    |       L18847
                       |        |      |                            |              
3d4.(5D).4d            | f 4D   |  1/2 |              89651.621     |       L18847
                       |        |  3/2 |              89724.1745    |       L18847
                       |        |  5/2 |              89812.3994    |       L18847
                       |        |  7/2 |              89885.0091    |       L18847
                       |        |      |                            |              
