                      | *      |   4 |            48042.7187    |           L18327
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | x 5H*  |   7 |            48140.101     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | 3D*    |   1 |            48210.018     |     L18327,L7185
                      |        |   2 |            48217.842     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 3P*  |   0 |            48226.171     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | 3D*    |   3 |            48251.933     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | y 3H*  |   4 |            48288.3556    |     L18327,L7185
                      |        |   5 |            48310.3500    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 3P*  |   1 |            48331.242     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3H).4s.4p.(3P*)  | y 3H*  |   6 |            48445.2943    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 3P*  |   2 |            48458.5780    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s.5s             | f 5D   |   0 |            48488.098     |           L18327
                      |        |   1 |            48507.408     |           L18327
                      |        |     |                          |                  
                      | x 3G*  |   3 |            48514.992     |           L18327
                      |        |     |                          |                  
3d4.4s.5s             | f 5D   |   2 |            48558.403     |           L18327
                      |        |     |                          |                  
                      | x 3G*  |   4 |            48562.1792    |           L18327
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | 3F*    |   3 |            48636.0405    |     L18327,L7185
                      |        |     |                          |                  
3d4.4s.5s             | f 5D   |   3 |            48661.5083    |     L18327,L7185
                      |        |     |                          |                  
                      | x 3G*  |   5 |            48786.161     |           L18327
                      |        |     |                          |                  
3d4.4s.5s             | f 5D   |   4 |            48824.4834    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 3D*  |   1 |            48839.778     |     L18327,L7185
                      |        |   2 |            49027.3953    |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).7s           | g 7S   |   3 |            49177.87      |           L18327
                      |        |     |                          |                  
3d4.(3P1).4s.4p.(3P*) | x 3D*  |   3 |            49310.830     |     L18327,L7185
                      |        |     |                          |                  
3d5.(6S).7s           | g 5S   |   2 |            49321.573     |           L18327
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | w 3G*  |   3 |            49370.619     |     L18327,L7185
                      |        |   4 |            49453.867     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 5G*  |   2 |            49466.705     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4P).4p           | y 3S*  |   1 |            49476.9847    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 5G*  |   3 |            49519.7149    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | w 3G*  |   5 |            49537.9802    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 5G*  |   4 |            49572.9466    |     L18327,L7185
                      |        |     |                          |                  
                      | e 3F   |   2 |            49586.47      |           L18327
                      |        |     |                          |                  
3d5.(4D).4p           | t 5P*  |   1 |            49588.831     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3F1).4s.4p.(3P*) | 1D*    |   2 |            49597.855     |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 5G*  |   5 |            49617.5488    |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4p           | x 3F*  |   4 |            49620.5640    |     L18327,L7185
                      |        |     |                          |                  
3d4.(3G).4s.4p.(3P*)  | w 5G*  |   6 |            49635.184     |     L18327,L7185
                      |        |     |                          |                  
3d5.(4D).4p           | x 3F*  |   3 |            49650.1320    |     L18327,L7185
                      |        |   2 |            49652.7224    |     L18327,L7185
                      |        |     |                          |                  
                      | e 3F   |   3 |            49717.808     |           L18327
                      |        |     |                          |                  
3d5.(4D).4p           | t 5P*  |   3 |            49812.430     |     L18327,L7185
                      |        |     |                          |                  
