3d5.(a 2F).4p        | 3D*    |   3 |   135705.61       |              0.10  |  67                        :    11  3d5.(b 2F).4p  3D*  |      L11223
                     |        |   1 |   136236.06       |              0.10  |  57                        :    14  3d5.(a 2D).4p  1P*  |      L11223
                     |        |   2 |   136532.32       |              0.10  |  34                        :    21  3d5.(4F).4p    5F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4p          | 5F*    |   4 |   135990.84       |              0.10  |  73                        :    18  3d5.(4F).4p    5D*  |      L11223
                     |        |   3 |   136008.90       |              0.10  |  74                        :    16  3d5.(4F).4p    5D*  |      L11223
                     |        |   2 |   136117.95       |              0.10  |  54                        :    15  3d5.(4F).4p    5D*  |      L11223
                     |        |   5 |   136185.16       |              0.11  |  87                                                     |      L11223
                     |        |   1 |   136464.80       |              0.10  |  76                        :     6  3d5.(a 2D).4p  3D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4p        | 1F*    |   3 |   136200.07       |              0.09  |  30 3d5.(a 2F).4p 3G*      :    21  3d5.(a 2D).4p  1F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4p        | 3F*    |   4 |   136612.84       |              0.10  |  31                        :    26  3d5.(a 2D).4p  3F*  |      L11223
                     |        |   2 |   136793.80       |              0.09  |  34                        :    20  3d5.(a 2D).4p  3F*  |      L11223
                     |        |   3 |   136796.90       |              0.09  |  39                        :    12  3d5.(a 2D).4p  1F*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4p          | 5D*    |   4 |   137209.90       |              0.10  |  73                        :    18  3d5.(4F).4p    5F*  |      L11223
                     |        |   3 |   137422.88       |              0.10  |  74                        :    15  3d5.(4F).4p    5F*  |      L11223
                     |        |   2 |   137544.70       |              0.10  |  75                        :     9  3d5.(4F).4p    5F*  |      L11223
                     |        |   1 |   137561.18       |              0.11  |  84                                                     |      L11223
                     |        |   0 |   137573.18       |              0.13  |  91                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2H).4p          | 3H*    |   4 |   137528.06       |              0.10  |  45                        :    44  3d5.(a 2G).4p  3H*  |      L11223
                     |        |   5 |   137763.58       |              0.10  |  42                        :    42  3d5.(a 2G).4p  3H*  |      L11223
                     |        |   6 |   138264.58       |              0.10  |  45                        :    40  3d5.(a 2G).4p  3H*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2H).4p          | 3G*    |   5 |   138054.60       |              0.09  |  48                        :    26  3d5.(4F).4p    3G*  |      L11223
                     |        |   4 |   138103.16       |              0.09  |  44                        :    28  3d5.(4F).4p    3G*  |      L11223
                     |        |   3 |   138187.96       |              0.09  |  42                        :    26  3d5.(4F).4p    3G*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2D).4p        | 1P*    |   1 |   138691.80       |              0.10  |  53                        :    17  3d5.(a 2F).4p  3D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(c 2D).4s        | 3D     |   3 |   138852.91       |              0.11  |  77                        :    23  3d5.(a 2D).4s  3D   |      L11223
                     |        |   2 |   138881.20       |              0.15  |  76                        :    23  3d5.(a 2D).4s  3D   |      L11223
                     |        |   1 |   138914.55       |              0.15  |  76                        :    23  3d5.(a 2D).4s  3D   |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(4F).4p          | 3G*    |   5 |   139463.33       |              0.09  |  40 3d5.(2H).4p 3I*        :    32  3d5.(4F).4p    3G*  |      L11223
                     |        |   4 |   139625.21       |              0.09  |  43                        :    34  3d5.(a 2G).4p  3G*  |      L11223
                     |        |   3 |   139680.37       |              0.10  |  43                        :    40  3d5.(a 2G).4p  3G*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(2H).4p          | 3I*    |   5 |   139509.44       |              0.10  |  49                        :    21  3d5.(4F).4p    3G*  |      L11223
                     |        |   6 |   139846.19       |              0.10  |  87                        :     5  3d5.(2H).4p    3H*  |      L11223
                     |        |   7 |   140196.41       |              0.13  |  97                                                     |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4p        | 1D*    |   2 |   139764.50       |              0.11  |  57                        :    29  3d5.(a 2D).4p  1D*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2G).4p        | 1G*    |   4 |   139827.18       |              0.09  |  36                        :    19  3d5.(a 2F).4p  1G*  |      L11223
                     |        |     |                   |                    |                                                         |
3d5.(a 2F).4p        | 1F*    |   3 |   140453.14       |              0.09  |  73                        :     5  3d5.(a 2G).4p  1F*  |      L11223
