4d6.(3D).5p          | 4P*    |  5/2 |           44107.18    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 2D*    |  3/2 |           44110.04    | L149,L14280
                     |        |      |                       |             
4d6.(3H).5p          | 2I*    | 11/2 |           44138.17    | L149,L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 6D   |  1/2 |           44149.50    |        L149
                     |        |      |                       |             
4d6.(3G).5p          | 4F*    |  5/2 |           44241.57    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(3G).5p  | 2F*    |  7/2 |           44266.89    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 4P*    |  3/2 |           44313.57    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(7S).5d  | e 8D   |  3/2 |           44333.21    |        L149
                     |        |  5/2 |           44337.54    |        L149
                     |        |  7/2 |           44343.90    |        L149
                     |        |  9/2 |           44352.65    |        L149
                     |        | 11/2 |           44365.30    |        L149
                     |        |      |                       |             
4d6.(3P2).5p         | 4D*    |  5/2 |           44537.79    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 2G*    |  9/2 |           44576.08    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 6P*    |  7/2 |           44687.20    | L149,L14280
                     |        |      |                       |             
4d6.(3P2).5p         | 4D*    |  3/2 |           44722.27    | L149,L14280
                     |        |      |                       |             
4d6.(5D).6s          | e 4D   |  5/2 |           44804.35    |        L149
                     |        |      |                       |             
4d6.(3F2).5p         | 2G*    |  7/2 |           44839.20    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 6P*    |  5/2 |           44872.37    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 4F*    |  3/2 |           44876.75    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(7S).5d  | f 6D   |  9/2 |           44919.08    |        L149
                     |        |      |                       |             
                     | 2*     |  3/2 |           44955.88    | L149,L14280
                     |        |      |                       |             
4d5.(6S).5s.(7S).5d  | f 6D   |  7/2 |           44985.53    |        L149
                     |        |  5/2 |           45071.05    |        L149
                     |        |  3/2 |           45108.64    |        L149
                     |        |  1/2 |           45189.70    |        L149
                     |        |      |                       |             
4d6.(5D).6s          | e 4D   |  3/2 |           45267.82    |        L149
                     |        |  1/2 |           45497.77    |        L149
                     |        |      |                       |             
                     | 4*     |  9/2 |           45708.77    |        L149
                     |        |      |                       |             
4d6.(3H).5p          | 2H*    |  9/2 |           46068.86    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 2F*    |  5/2 |           46104.89    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 4D*    |  7/2 |           46396.17    | L149,L14280
                     |        |      |                       |             
4d6.(3D).5p          | 2F*    |  7/2 |           46608.86    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 4H*    |  7/2 |           46656.07    | L149,L14280
                     |        |  9/2 |           46700.54    |      L14280
                     |        | 11/2 |           46781.80    |      L14280
                     |        | 13/2 |           46840.59    |      L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 4D*    |  3/2 |           47030.68    | L149,L14280
                     |        |      |                       |             
4d6.(3F2).5p         | 2D*    |  5/2 |           47232.38    | L149,L14280
                     |        |      |                       |             
4d5.(4P).5s.(5P).5p  | 4P*    |  5/2 |           47281.86    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(5G).5p  | 4G*    | 11/2 |           47294.35    | L149,L14280
                     |        |      |                       |             
4d5.(4G).5s.(3G).5p  | 4G*    |  9/2 |           47343.91    | L149,L14280
                     |        |  7/2 |           47389.74    | L149,L14280
                     |        |  5/2 |           47452.27    | L149,L14280
                     |        |      |                       |             
4d6.(3P2).5p         | 2S*    |  1/2 |           47670.53    | L149,L14280
                     |        |      |                       |             
4d6.(1G2).5p         | 2H*    |  9/2 |           47819.66    | L149,L14280
                     |        |      |                       |             
4d6.(3G).5p          | 2G*    |  7/2 |           47864.34    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 4F*    |  5/2 |           48142.76    | L149,L14280
                     |        |      |                       |             
4d6.(1G2).5p         | 2G*    |  9/2 |           48213.49    | L149,L14280
                     |        |      |                       |             
4d5.(4D).5s.(5D).5p  | 4F*    |  7/2 |           48217.35    | L149,L14280
                     |        |  9/2 |           48287.79    | L149,L14280
                     |        |      |                       |             
4d6.(1I).5p          | 2K*    | 13/2 |           48330.39    |      L14280
                     |        |      |                       |             
