4f.5d.(3G*).6p             |           |  3/2 |          29449.778    |            
                           |           |      |                       |             
4f2.(3H<5>).6p<3/2>        | (5,3/2)*  | 13/2 |          29591.873    |            
                           |           |      |                       |             
4f2.(3P).5d                | 2F        |  5/2 |          29673.771    |            
                           |           |      |                       |             
4f2.(3H<5>).6p<3/2>        | (5,3/2)*  |  9/2 |          29735.413    |            
                           |           | 11/2 |          29750.547    |            
                           |           |      |                       |             
4f.5d.(3D*).6p             |           |  1/2 |          29790.270    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  7/2 |          29794.517    |            
                           |           |      |                       |             
4f2.(3P).5d                | 2F        |  7/2 |          29807.078    |            
                           |           |      |                       |             
4f2.(3H<5>).6p<3/2>        | (5,3/2)*  |  7/2 |          29892.677    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             | 4H        |  9/2 |          29908.904    |            
                           |           |      |                       |             
4f2.(3F<2>).6p<1/2>        | (2,1/2)*  |  5/2 |          29948.914    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  3/2 |          29984.052    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             |           |  5/2 |          29994.041    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  7/2 |          30065.164    |            
                           |           |      |                       |             
4f2.(3F<2>).6p<1/2>        | (2,1/2)*  |  3/2 |          30120.406    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             | 4H        | 11/2 |          30134.910    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             |           |  7/2 |          30166.057    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             | 4I        | 13/2 |          30180.096    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  9/2 |          30245.878    |            
                           |           |      |                       |             
4f.5d.(3H*).6p             |           |  5/2 |          30425.349    |            
                           |           |      |                       |             
4f.5d.(3F*).6p             |           |  5/2 |          30637.157    |            
                           |           |      |                       |             
4f2.(3F<4>).6p<1/2>        | (4,1/2)*  |  9/2 |          30669.702    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             |           |  9/2 |          30702.610    |            
                           |           |      |                       |             
4f.6s.(3F*).6p             |           |  3/2 |          30745.286    |            
                           |           |      |                       |             
4f.5d.(3G*).6p             |           |  7/2 |          30829.124    |            
                           |           |      |                       |             
