                    |        |      |                     |             
                    | *      |      |         51824.97    |            
                    |        |      |                     |             
                    | *      |      |         51870.68    |            
                    |        |      |                     |             
                    | *      |      |         52088.78    |            
                    |        |      |                     |             
                    | *      |      |         52113.34    |            
                    |        |      |                     |             
                    | *      |      |         52415.89    |            
                    |        |      |                     |             
                    | *      |      |         52430.31    |            
                    |        |      |                     |             
                    | *      |      |         52486.74    |            
                    |        |      |                     |             
                    | *      |      |         52509.04    |            
                    |        |      |                     |             
                    | *      |      |         52593.51    |            
                    |        |      |                     |             
                    | *      |      |         52700.22    |            
                    |        |      |                     |             
                    | *      |      |         52747.68    |            
                    |        |      |                     |             
                    | *      |      |         52784.60    |            
                    |        |      |                     |             
                    | *      |      |         52808.40    |            
                    |        |      |                     |             
                    | *      |      |         52856.25    |            
