4f10.(5I<6>).6s2.6p<3/2>                   | (6,3/2)*   |         13/2 |       30029.36    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       30049.10    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       30135.31    |     L3974
                                           |            |              |                   |           
4f10.(5I<6>).6s2.6p<3/2>                   | (6,3/2)*   |         11/2 |       30146.15    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       30327.49    |     L3974
                                           |            |              |                   |           
                                           | *          |         13/2 |       30338.72    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       30425.58    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         21/2 |       30484.68    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       30582.15    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       30773.59    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       30805.90    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         19/2 |       31018.63    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       31042.44    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s.7s.(3S<1>)             | (15/2,1)*  |         17/2 |       31116.22    |     L3974
                                           |            |         15/2 |       31443.26    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         13/2 |       31515.70    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       31540.19    |     L3974
                                           |            |              |                   |           
4f10.(5I).5d.6s.6p?                        | *          |         17/2 |       31793.06    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s.7s.(3S<1>)             | (15/2,1)*  |         13/2 |       31816.26    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |          9/2 |       32039.76    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       32671.45    |     L3974
                                           |            |              |                   |           
                                           |            |          9/2 |       32784.83    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s.7s.(1S<0>)             | (15/2,0)*  |         15/2 |       33005.31    |     L3974
                                           |            |              |                   |           
                                           | *          |         15/2 |       33091.50    |     L3974
                                           |            |              |                   |           
4f10.5d.6s2                                |            |         11/2 |       34366.07    |     L3974
                                           |            |              |                   |           
                                           | *          |         13/2 |       34653.56    |     L3974
                                           |            |              |                   |           
                                           |            |          9/2 |       35040.75    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<1/2> | (8,1/2)    |         15/2 |       36344.52    |     L3974
                                           |            |         17/2 |       36367.65    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<7>.7p<1/2> | (7,1/2)    |         13/2 |       36663.94    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2> | (8,3/2)    |         19/2 |       36726.65    |     L3974
                                           |            |              |                   |           
4f11.(4I*<13/2>).6s.7s.(3S<1>)             | (13/2,1)*  |         15/2 |       36731.23    |     L3974
                                           |            |              |                   |           
4f11.(4I*<15/2>).6s (15/2,1/2)*<8>.7p<3/2> | (8,3/2)    |         17/2 |       36791.24    |     L3974
                                           |            |              |                   |           
